game,installations,rating,reviews,in_app_purchases_min,in_app_purchases_max,game1,installations1,rating1,reviews1,in_app_purchases_min1,in_app_purchases_max1,game2,installations2,rating2,reviews2,in_app_purchases_min2,in_app_purchases_max2,game3,installations3,rating3,reviews3,in_app_purchases_min3,in_app_purchases_max3,game_game,game_fin,installations_fin,rating_fin,reviews_fin,in_app_purchases_min_fin,in_app_purchases_max_fin,game4,installations4,rating4,reviews4,in_app_purchases_min4,in_app_purchases_max4
PAC-MAN,100000000,3.5714285,1201.0,0.99,99.99,PAC-MAN,100000000.0,3.5714285,1201.0,0.99,99.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,PAC-MAN,PAC-MAN,100000000,3,1201,0.99,99.99,PAC-MAN,100000000.0,3.5714285,1201.0,0.99,99.99
Fruit Ninja 2 Fun Action Games,10000000,3.77,83.0,0.99,119.99,Fruit Ninja 2 Fun Action Games,10000000.0,3.77,83.0,0.99,119.99,0,,0.0,0.0,0.0,0.0,Fruit Ninja 2 Fun Action Games,10000000.0,3.77,83.0,0.99,119.99,Fruit Ninja 2 Fun Action Games,Fruit Ninja 2 Fun Action Games,10000000,3,83,0.99,119.99,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Jetpack VS. Colors,500000.0,3.75,4.0,1.6,0.0,Jetpack VS. Colors,500000.0,3.75,4.0,1.6,0.0,[],Jetpack VS. Colors,0,3,4,1.6,1.6,0,,0.0,0.0,0.0,0.0
Benji Bananas,50000000,4.3482413,7048.0,0.89,89.99,Benji Bananas,50000000.0,4.3482413,7048.0,0.89,89.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Benji Bananas,Benji Bananas,50000000,4,7048,0.89,89.99,Benji Bananas,50000000.0,4.3482413,7048.0,0.89,89.99
0,None,0.0,0.0,0.0,0.0,Freeze!,5000000.0,3.52,165.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Freeze!,5000000.0,3.52,165.0,0.0,0.0,[],Freeze!,5000000.0,3,165,0.0,0.0,0,,0.0,0.0,0.0,0.0
Rocky Rampage: Wreck 'em Up,500000,3.7567568,18.0,1.09,64.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Rocky Rampage: Wreck 'em Up,Rocky Rampage: Wreck 'em Up,500000,3,18,1.09,64.99,0,,0.0,0.0,0.0,0.0
Zombies Ranch. Zombie shooting,1000000,4.0526314,10.0,0.69,42.99,Zombies Ranch. Zombie shooting,1000000.0,4.0526314,10.0,0.69,42.99,Zombies Ranch. Zombie shooting,1000000.0,4.0526314,10.0,0.69,42.99,Zombies Ranch. Zombie shooting,1000000.0,4.0526314,10.0,0.69,42.99,Zombies Ranch. Zombie shooting,Zombies Ranch. Zombie shooting,1000000,4,10,0.69,42.99,Zombies Ranch. Zombie shooting,1000000.0,4.0526314,10.0,0.69,42.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,[],0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Fruit Ninja®,500000000.0,4.1587577,6485.0,1.09,184.99,[],Fruit Ninja®,0,4,6485,1.09,184.99,Fruit Ninja®,500000000.0,4.1587577,6485.0,1.09,184.99
South Park: Phone Destroyer™,10000000,4.4359927,2198.0,0.89,54.99,South Park: Phone Destroyer™,10000000.0,4.4359927,2198.0,0.89,54.99,0,,0.0,0.0,0.0,0.0,South Park: Phone Destroyer™,10000000.0,4.4359927,2198.0,0.89,54.99,South Park: Phone Destroyer™,South Park: Phone Destroyer™,10000000,4,2198,0.89,54.99,South Park: Phone Destroyer™,10000000.0,4.4359927,2198.0,0.89,54.99
0,None,0.0,0.0,0.0,0.0,Lep's World 3,50000000.0,4.455357,1976.0,0.5,99.99,Lep's World 3,50000000.0,4.455357,1976.0,0.5,99.99,Lep's World 3,50000000.0,4.455357,1976.0,0.5,99.99,[],Lep's World 3,50000000.0,4,1976,0.5,99.99,0,,0.0,0.0,0.0,0.0
Lumberwhack: Defend the Wild,1000000,4.0735292,16.0,0.99,109.99,Lumberwhack: Defend the Wild,1000000.0,4.0735292,16.0,0.99,109.99,Lumberwhack: Defend the Wild,1000000.0,4.0735292,16.0,0.99,109.99,0,,0.0,0.0,0.0,0.0,Lumberwhack: Defend the Wild,Lumberwhack: Defend the Wild,1000000,4,16,0.99,109.99,0,,0.0,0.0,0.0,0.0
Magic Touch: Wizard for Hire,10000000,4.05,38.0,1.62,7.57,Magic Touch: Wizard for Hire,10000000.0,4.05,38.0,1.62,7.57,0,,0.0,0.0,0.0,0.0,Magic Touch: Wizard for Hire,10000000.0,4.05,38.0,1.62,7.57,Magic Touch: Wizard for Hire,Magic Touch: Wizard for Hire,10000000,4,38,1.62,7.57,Magic Touch: Wizard for Hire,10000000.0,4.05,38.0,1.62,7.57
Manuganu 2,5000000,4.6,125.0,0.71,0.0,Manuganu 2,5000000.0,4.6,125.0,0.71,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Manuganu 2,Manuganu 2,5000000,4,125,0.71,0.71,Manuganu 2,5000000.0,4.6,125.0,0.71,0.0
Rick and Morty: Pocket Mortys,10000000,3.462069,639.0,1.09,104.99,Rick and Morty: Pocket Mortys,10000000.0,3.462069,639.0,1.09,104.99,0,,0.0,0.0,0.0,0.0,Rick and Morty: Pocket Mortys,10000000.0,3.462069,639.0,1.09,104.99,Rick and Morty: Pocket Mortys,Rick and Morty: Pocket Mortys,10000000,3,639,1.09,104.99,Rick and Morty: Pocket Mortys,10000000.0,3.462069,639.0,1.09,104.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Geometry Dash World,50000000.0,4.275,1191.0,0.0,0.0,[],Geometry Dash World,0,4,1191,0.0,0.0,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Give It Up!: Beat Jumper & Tap,5000000.0,3.94,185.0,0.89,3.39,[],Give It Up!: Beat Jumper & Tap,0,3,185,0.89,3.39,Give It Up!: Beat Jumper & Tap,5000000.0,3.94,185.0,0.89,3.39
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Okay?,5000000.0,4.6132073,2134.0,1.0,10.0,0,,0.0,0.0,0.0,0.0,[],Okay?,0,4,2134,1.0,10.0,Okay?,5000000.0,4.6132073,2134.0,1.0,10.0
Crash Bandicoot: On the Run!,10000000,4.173611,1131.0,0.99,109.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Crash Bandicoot: On the Run!,Crash Bandicoot: On the Run!,10000000,4,1131,0.99,109.99,0,,0.0,0.0,0.0,0.0
Flippy Knife,10000000,4.0236793,2647.0,0.99,64.99,Flippy Knife,10000000.0,4.0236793,2647.0,0.99,64.99,Flippy Knife,10000000.0,4.0236793,2647.0,0.99,64.99,Flippy Knife,10000000.0,4.0236793,2647.0,0.99,64.99,Flippy Knife,Flippy Knife,10000000,4,2647,0.99,64.99,Flippy Knife,10000000.0,4.0236793,2647.0,0.99,64.99
Ballz,10000000,3.17,445.0,0.99,2.99,Ballz,10000000.0,3.17,445.0,0.99,2.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Ballz,Ballz,10000000,3,445,0.99,2.99,Ballz,10000000.0,3.17,445.0,0.99,2.99
0,None,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Fin Ancient Mystery platformer,5000000.0,4.6625,38.0,1.09,15.99,Fin Ancient Mystery platformer,5000000.0,4.6625,38.0,1.09,15.99,[],Fin Ancient Mystery platformer,0,4,38,1.09,15.99,0,,0.0,0.0,0.0,0.0
Magic Rampage,10000000,4.48,205.0,1.9,21.9,Magic Rampage,10000000.0,4.48,205.0,1.9,21.9,Magic Rampage,10000000.0,4.48,205.0,1.9,21.9,Magic Rampage,10000000.0,4.48,205.0,1.9,21.9,Magic Rampage,Magic Rampage,10000000,4,205,1.9,21.9,0,,0.0,0.0,0.0,0.0
Dumb Ways to Die 2: The Games,100000000,4.2824483,3308.0,0.81,4.4,Dumb Ways to Die 2: The Games,100000000.0,4.2824483,3308.0,0.81,4.4,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Dumb Ways to Die 2: The Games,Dumb Ways to Die 2: The Games,100000000,4,3308,0.81,4.4,Dumb Ways to Die 2: The Games,100000000.0,4.2824483,3308.0,0.81,4.4
Age of Apes,1000000,4.5,217.0,1.19,114.99,Age of Apes,1000000.0,4.5,217.0,1.19,114.99,Age of Apes,1000000.0,4.504673,217.0,1.19,114.99,0,,0.0,0.0,0.0,0.0,Age of Apes,Age of Apes,1000000,4,217,1.19,114.99,Age of Apes,1000000.0,4.504673,217.0,1.19,114.99
0,None,0.0,0.0,0.0,0.0,Trials Frontier,10000000.0,4.172131,1210.0,0.49,109.99,0,,0.0,0.0,0.0,0.0,Trials Frontier,10000000.0,4.172131,1210.0,0.49,109.99,[],Trials Frontier,10000000.0,4,1210,0.49,109.99,0,,0.0,0.0,0.0,0.0
Prince of Persia : Escape,5000000,4.1485147,222.0,3.49,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Prince of Persia : Escape,Prince of Persia : Escape,5000000,4,222,3.49,3.49,0,,0.0,0.0,0.0,0.0
0,None,0.0,0.0,0.0,0.0,Boulder Dash® 30th Anniversary,100000.0,4.3,41.0,0.73,109.99,Boulder Dash® 30th Anniversary,100000.0,4.3,41.0,0.73,109.99,Boulder Dash® 30th Anniversary,100000.0,4.3,41.0,0.73,109.99,[],Boulder Dash® 30th Anniversary,100000.0,4,41,0.73,109.99,0,,0.0,0.0,0.0,0.0
Hyperforma,1000000,4.64,56.0,0.69,4.99,Hyperforma,1000000.0,4.64,56.0,0.69,4.99,Hyperforma,1000000.0,4.64,56.0,0.69,4.99,0,,0.0,0.0,0.0,0.0,Hyperforma,Hyperforma,1000000,4,56,0.69,4.99,Hyperforma,1000000.0,4.64,56.0,0.69,4.99
Ice Age Adventures,50000000,4.0146523,1486.0,0.99,99.99,0,,0.0,0.0,0.0,0.0,Ice Age Adventures,50000000.0,4.0146523,1486.0,0.99,99.99,0,,0.0,0.0,0.0,0.0,Ice Age Adventures,Ice Age Adventures,50000000,4,1486,0.99,99.99,Ice Age Adventures,50000000.0,4.0146523,1486.0,0.99,99.99
Shadow of Death: Dark Knight,10000000,4.6923075,308.0,0.99,99.99,Shadow of Death: Dark Knight,10000000.0,4.6923075,308.0,0.99,99.99,0,,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,Shadow of Death: Dark Knight,Shadow of Death: Dark Knight,10000000,4,308,0.99,99.99,0,,0.0,0.0,0.0,0.0
Om Nom: Run,10000000,3.950495,90.0,0.99,29.99,Om Nom: Run,10000000.0,3.950495,90.0,0.99,29.99,Om Nom: Run,10000000.0,3.950495,90.0,0.99,29.99,0,,0.0,0.0,0.0,0.0,Om Nom: Run,Om Nom: Run,10000000,3,90,0.99,29.99,0,,0.0,0.0,0.0,0.0
